Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
CAEE,32,0.666666667,2.133333333,9.30E-04
CAEA,38,0.666666667,2.533333333,0.001103977
ECBB,20,0.666666667,1.333333333,5.81E-04
CAHH,32,0.666666667,2.133333333,9.30E-04
HHHF,26,0.666666667,1.733333333,7.55E-04
AHAA,29,0.666666667,1.933333333,8.43E-04
AHHA,50,0.666666667,3.333333333,0.001452602
ADAD,40,0.666666667,2.666666667,0.001162081
ADBA,24,0.666666667,1.6,6.97E-04
CFAA,22,0.666666667,1.466666667,6.39E-04
CFFC,23,0.666666667,1.533333333,6.68E-04
BCFF,17,0.666666667,1.133333333,4.94E-04
CBAC,21,0.666666667,1.4,6.10E-04
CBCC,38,0.666666667,2.533333333,0.001103977
CBCA,21,0.666666667,1.4,6.10E-04
CBDD,23,0.666666667,1.533333333,6.68E-04
DABA,25,0.666666667,1.666666667,7.26E-04
DAAH,18,0.666666667,1.2,5.23E-04
FCAA,13,0.666666667,0.866666667,3.78E-04
DAEA,28,0.666666667,1.866666667,8.13E-04
FCCB,32,0.666666667,2.133333333,9.30E-04
AECC,56,0.666666667,3.733333333,0.001626914
AEFF,36,0.666666667,2.4,0.001045873
DFAA,21,0.666666667,1.4,6.10E-04
AACE,49,0.666666667,3.266666667,0.00142355
CCCB,58,0.666666667,3.866666667,0.001685018
AAED,33,0.666666667,2.2,9.59E-04
AAEB,29,0.666666667,1.933333333,8.43E-04
EEBB,44,0.666666667,2.933333333,0.001278289
AAEF,21,0.666666667,1.4,6.10E-04
AAGA,21,0.666666667,1.4,6.10E-04
CCFA,22,0.666666667,1.466666667,6.39E-04
DBBA,46,0.666666667,3.066666667,0.001336393
EEDA,13,0.666666667,0.866666667,3.78E-04
FDDA,21,0.666666667,1.4,6.10E-04
EAAB,30,0.666666667,2,8.72E-04
EAAC,50,0.666666667,3.333333333,0.001452602
AFFF,78,0.666666667,5.2,0.002266059
ABAC,25,0.666666667,1.666666667,7.26E-04
ABCA,20,0.666666667,1.333333333,5.81E-04
CDAD,23,0.666666667,1.533333333,6.68E-04
ABDD,42,0.666666667,2.8,0.001220185
CDCC,39,0.666666667,2.6,0.001133029
CDDE,25,0.666666667,1.666666667,7.26E-04
BACB,21,0.666666667,1.4,6.10E-04
DCAC,29,0.666666667,1.933333333,8.43E-04
DCCA,37,0.666666667,2.466666667,0.001074925
BAFA,19,0.666666667,1.266666667,5.52E-04
ACBC,25,0.666666667,1.666666667,7.26E-04
AABBC,23,0.666666667,1.533333333,6.68E-04
AAAFF,52,0.666666667,3.466666667,0.001511364
AAABC,18,0.666666667,1.2,5.23E-04
AAAAH,49,0.666666667,3.266666667,0.00142417
AACAD,18,0.666666667,1.2,5.23E-04
AACDA,17,0.666666667,1.133333333,4.94E-04
DABBB,26,0.666666667,1.733333333,7.56E-04
AHHHA,32,0.666666667,2.133333333,9.30E-04
BCCDD,26,0.666666667,1.733333333,7.56E-04
BBBAC,38,0.666666667,2.533333333,0.001104459
BBCCD,26,0.666666667,1.733333333,7.56E-04
BBBDD,52,0.666666667,3.466666667,0.001511364
CDDDC,29,0.666666667,1.933333333,8.43E-04
BBDDD,44,0.666666667,2.933333333,0.001278847
